verb,count
ขอบคุณ,1814
ยา,1811
ประสาน,1788
เริ่ม,1774
อาศัย,1762
คิด,1752
กลับมา,1750
ต้องการ,1742
จับกุม,1731
เต็ม,1726
ฟัง,1715
ระบุ,1683
แยก,1672
เจอ,1649
นำเสนอ,1642
เขียน,1622
ถาม,1619
เข้าถึง,1609
เข้าใจ,1596
สั่ง,1591
เชิญ,1584
เป็นการ,1580
เสริม,1563
จัดตั้ง,1553
ไร้,1549
นำมา,1527
แต่งตั้ง,1523
สรุป,1504
ก่อให้เกิด,1497
ต่าง,1496
มอง,1488
ยกเลิก,1453
พยายาม,1437
แบ่ง,1435
ยืนยัน,1420
ปรับปรุง,1395
ทำงาน,1375
ดำเนินการ,1373
อันเป็น,1363
พูดถึง,1358
ยอมรับ,1343
เรียน,1339
เกิดขึ้น,1339
โพสต์,1317
นั่ง,1316
ประชุม,1302
เหลือ,1273
นับ,1270
สอน,1261
ระ,1256
ปล่อย,1252
ให้บริการ,1243
ระบาย,1241
สนใจ,1225
คล้าย,1221
เปิดเผย,1221
กระตุ้น,1209
เป็นไปตาม,1207
ปฏิบัติ,1202
เร่ง,1197
เดินทาง,1190
ติดตั้ง,1181
โอน,1173
บันทึก,1171
ยู,1169
หมายถึง,1168
สอบสวน,1161
ทิ้ง,1151
จำกัด,1139
แก้ปัญหา,1123
ชี้,1122
ติดต่อ,1110
แก้ไขปัญหา,1102
ก่อสร้าง,1099
สำรวจ,1086
ออกแบบ,1084
พิสูจน์,1062
พูด,1057
พา,1050
ประจำ,1049
ทุจริต,1035
ข้าม,1026
มา,1025
ประกอบด้วย,1020
รู้จัก,1016
คุ้มครอง,1016
หยุด,1013
รายงาน,1009
วิ่ง,1005
มองว่า,1003
ป่า,1003
แข่งขัน,1001
ย้าย,984
ฝึก,981
ละเมิด,980
ดึง,974
รู้สึก,963
มีปัญหา,953
น่าจะเป็น,951
ตำรวจภูธร,949
ปรากฏ,945
ป้อม,937
กด,933
ยุติ,932
เติม,929
ค้นหา,909
ถามถึง,907
ขุด,904
ยาง,878
ยกระดับ,875
หลักประกัน,871
ต่อ,862
คำนึงถึง,861
จอด,861
ฝั่ง,857
รับทราบ,857
เปิดตัว,849
พิมพ์,845
ทำลาย,840
รับรอง,836
สะท้อน,834
กระจาย,831
ขึ้น,825
บรรเทา,824
ดำเนินคดี,821
มหา,821
คืน,819
วิเคราะห์,818
ถ่าย,816
เกาะ,813
ประหยัด,810
ประสบ,797
เท,792
กำหนดให้,792
อ้าง,788
ตก,788
ปราบ,785
ปรับเปลี่ยน,783
คอย,782
มีโอกาส,781
รับผิดชอบ,778
บรรจุ,774
จัดหา,771
รับฟัง,771
ฝาก,770
ดื่ม,768
ยอม,758
ออกเสียง,756
เปลี่ยนแปลง,751
ขึ้นอยู่กับ,748
มากกว่า,744
แลกเปลี่ยน,735
ได้มา,731
จัดสรร,731
ทำเป็น,728
บังคับ,727
เลื่อน,723
ปฏิเสธ,723
ทดสอบ,722
นำเข้า,719
แนะนำ,718
ทำหน้าที่,717
ประเมิน,715
ขึ้นกับ,710
ทำการ,706
เพิ่มเติม,705
ไปหา,703
กำจัด,702
ตัดสินใจ,698
เป็นเหตุให้,697
มอบให้,697
ตรวจค้น,692
ห้าม,691
ยืน,690
เรียนรู้,687
ตกเป็น,686
ขาดแคลน,677
ปฏิรูป,677
หมด,672
หัก,671
เห็นชอบ,670
อนุมัติ,668
ถ่ายทอด,654
แชร์,650
ราช,643
ระวัง,642
จัดงาน,642
สูญเสีย,636
เป็นไป,628
สัมผัส,627
เชื่อมโยง,625
มีส่วน,622
ยกเว้น,619
ปฏิบัติตาม,619
เป็นเรื่อง,616
ครอบคลุม,615
เจรจา,614
ทัน,612
ถือว่า,612
ลงทุน,609
ว่าด้วย,603
เข้าข่าย,602
ต่อเนื่อง,599
เจริญ,598
ปราศจาก,597
กำกับ,597
โดน,594
ทบทวน,592
นคร,589
การแข่งขัน,589
ปฏิบัติการ,584
เจาะ,582
รีบ,582
ที่เกิด,580
ผสม,572
เลิก,570
ชม,568
อธิบาย,567
ไล่,566
วัง,562
ตี,562
ก่อ,562
สยาม,556
เคารพ,554
ยาเสพติด,552
มองเห็น,545
ชี้แจง,541
รวมไปถึง,539
เฉลี่ย,535
แต่ง,531
จอง,530
สอบ,529
เทศบาลเมือง,527
เที่ยว,521
แปลง,518
พบเห็น,518
ลงมา,518
วิจัย,515
กระทบ,510
คุม,510
ตกหนัก,508
ปาก,501
ตัดสิน,500
เดินหน้า,499
ใช้จ่าย,498
เสริมสร้าง,497
นัด,497
เริ่มต้น,496
หยิบ,494
เพิ่มขึ้น,493
ทุ่ง,491
คว้า,488
ย์,485
เชื่อ,484
ให้การ,482
เฝ้า,481
ประชาสัมพันธ์,481
ยุ,476
เข้าไป,474
จัดเก็บ,464
ปฎิบัติ,464
มาสู่,463
หลีกเลี่ยง,457
วางแผน,453
แถลง,452
เท่า,451
เชื่อม,448
รัก,448
เป็นที่,444
เตือน,444
ออกจาก,442
พัก,441
สิ้นสุด,438
เกี่ยวข้อง,438
ปกป้อง,436
ช่วยกัน,435
ควบคุมตัว,435
นึกถึง,434
ปฏิบัติหน้าที่,434
มีผลต่อ,432
ป้าย,431
จำ,428
สร้างสรรค์,428
บริจาค,427
พ่วง,425
บริโภค,425
บิน,424
สังกัด,422
มีผล,419
นิยม,418
หวัง,418
แจก,417
เกิดเหตุ,417
เป็นเจ้าของ,414
ล้าง,414
เยี่ยม,414
ได้ยิน,414
จา,412
อบรม,412
คิดถึง,410
แจ้งความ,409
วิจารณ์,402
เต็มไปด้วย,402
จังหวัด,401
ใช้เวลา,399
ยธ,399
กลาย,398
สื่อสาร,398
คาด,397
คุณ,396
เติบโต,396
เร่งรัด,395
ตีความ,394
ประชามติ,394
ส่งออก,393
ตกแต่ง,393
สอบปากคำ,393
ร้อง,392
ไหล,391
เชื่อมต่อ,390
บรม,389
ลักลอบ,389
เผย,388
เรียกร้อง,384
สวม,383
จุ,383
ตั้งอยู่,383
  ,382
จัดซื้อ,379
ตาย,378
ประสบปัญหา,378
ใช้อำนาจ,376
ได้แก่,375
ซ่อม,375
อัด,375
ท่วม,375
จ้าง,374
ต้อนรับ,374
เสียชีวิต,372
ถวาย,370
นักท่องเที่ยว,369
รับประทาน,369
ลดลง,368
ปลด,368
ยง,367
ต.,367
พ้น,366
ต่อต้าน,362
ตระหนักถึง,362
ประกัน,361
มุ่ง,360
ยาม,360
ค้นพบ,359
เบิก,358
แพ้,357
ก่อเหตุ,357
ชุมนุม,356
ตรง,355
ยอมให้,352
ให้ได้,351
เชิญชวน,349
เรือ,348
ย,348
คนใน,346
กรอง,345
นับถือ,344
น้ำท่วม,344
ต้องหา,343
แสดงถึง,343
ปกครอง,343
บังคับใช้,341
เผชิญ,340
เทียบ,338
สิ้น,337
ยศ,337
ลบ,336
ลงมือ,335
ใช้งาน,334
เกิน,334
หารือ,333
ถอด,333
บุกรุก,330
เหมาะ,329
ประ,329
โชว์,329
ทรง,329
สร้างเสริม,327
ด่าน,327
ทดแทน,326
การเลือกตั้ง,326
พัน,326
เปรียบเทียบ,325
ประกาศใช้,325
อย่า,323
ถอน,321
กล้า,321
ครอง,320
เอาชนะ,320
ระดม,319
ชาว,319
ส่งมอบ,318
ดำเนินงาน,317
เจ้าคุณ,317
หนี,317
เสร็จ,317
กลัว,316
สำรอง,316
กระ,316
ระมัดระวัง,316
แสวงหา,314
ชำระ,314
พอ,313
อนุรักษ์,313
ตอบสนอง,312
เพื่อน,311
สกัด,311
จัดกิจกรรม,310
พูดคุย,309
ต่อให้,309
มีความรู้,308
เจ้าของ,306
เคลื่อนย้าย,306
จัดระเบียบ,305
ตำรวจ,304
ย้ำ,304
วน,303
ค้น,301
รณรงค์,301
ลงโทษ,300
ยะ,300
จัดแสดง,299
ยุบ,299
ดูแลรักษา,299
ก่อตั้ง,298
ผลักดัน,297
ให้กำลังใจ,296
สำเร็จ,294
ทับ,294
ต่ำกว่า,293
ตามมา,293
ขอรับ,292
ยัน,292
ขี่,292
ดำรง,291
เป็นตัวแทน,290
ฝึกอบรม,289
ประสานงาน,286
ฆ่า,286
จี,286
กระทำ,284
คัดเลือก,284
ส่งต่อ,283
พลิก,282
อำนวย,281
เช็ค,281
ดัน,279
นอน,277
มีเรื่อง,276
ฝ่าย,276
เสพ,276
ตั้งใจ,275
์,275
เวียง,275
ชื่นชอบ,274
แตก,274
ทุกคน,274
เลือกตั้ง,274
เจ้าหน้า,273
อุ้ม,272
พอใจ,270
มีเสียง,268
ร่าง,267
เผา,266
ทดลอง,266
เสร็จสิ้น,265
นักการเมือง,265
เบรก,264
ยอ,262
จิตร,262
กระทำความผิด,262
เหมาะกับ,260
เหล่า,259
เชียง,258
ประชา,257
สาน,257
ปราก,256
รับรู้,256
กระทรวง,255
มุ่งเน้น,255
เป็นรอง,254
แสดงให้เห็น,253
ยอด,253
ติดเชื้อ,253
มีค่า,253
เปลี่ยนเป็น,250
รับซื้อ,249
ปัน,249
สรรหา,249
ลุ้น,249
ยูโร,249
อิง,248
บูรณาการ,247
ทน,246
สภานิติบัญญัติ,246
พิทักษ์,246
กรุง,246
วินิจฉัย,245
เหมาะสม,242
ชนะ,242
ส่งผลให้เกิด,242
ขัดขวาง,241
เล่า,240
จำลอง,240
การเปลี่ยนแปลง,240
เสนอชื่อ,239
พระ,238
ปลอดภัย,237
เจ้า,236
เป็นสมาชิก,236
โฆษณา,236
การปฏิรูป,236
ฟ้อง,236
เคลื่อนไหว,234
เหมือนกัน,234
กัด,233
เด,233
ลิ,233
หลุด,232
แปล,232
ตรวจราชการ,232
ตรงข้าม,232
กู้,231
ยืม,231
เกี่ยวกับ,230
ท่องเที่ยว,230
ไม่ต้อง,230
ขัดต่อ,230
สังเกต,229
แบ่งปัน,229
ตกลง,229
ปรึกษา,228
ทำเอา,228
บรรลุ,226
ทวง,226
สมบูรณ์,226
บรรยาย,226
โยกย้าย,226
ลืม,226
ฝน,225
สั่งซื้อ,225
เนี่ย,224
ขจัด,224
นับว่า,224
ถือครอง,224
แนวร่วม,223
น้อยกว่า,223
ตรวจจับ,223
เต็มที่,222
กวาง,221
ยุค,220
จี้,220
ฉาย,219
มีระบบ,219
รบกวน,219
ปลอด,218
เฉี่ยว,217
กร,216
ประเด็น,215
ขยายตัว,215
ตรวจหา,214
ปลอม,213
จัดเตรียม,212
ป้อน,212
ต่อยอด,212
ติ,211
เคลื่อน,211
แล้,210
ทั้งเป็น,209
ทำบุญ,209
ย้อน,208
ปฎิ,208
เข้าพบ,208
การท่องเที่ยว,208
ลูก,208
แสน,207
สลับ,206
เมธี,206
ทำตาม,206
โจมตี,205
การป้องกัน,205
ขวาง,205
รี,204
พิการ,204
ได้รับบาดเจ็บ,204
เข้าให้,204
รา,202
ล้ม,202
สืบ,202
ดีขึ้น,201
ยางพารา,201
ชวน,200
ชดใช้,200
ลอง,200
ประตู,199
สัมภาษณ์,199
ชดเชย,198
ครบ,197
ตน,197
ทำความเข้าใจ,196
เข้าหา,195
เห็นด้วย,195
ในเครือ,195
,195
การพัฒนา,194
ขัด,194
สิทธิมนุษยชน,194
เอน,193
ประดิษฐ์,193
เด็ก,193
พรรค,192
เก็บเกี่ยว,192
อิสระ,191
นะ,191
ระงับ,191
ริม,190
จดทะเบียน,190
ฟื้นฟู,189
ส่งผล,188
ฝัง,188
เป็นปัญหา,188
นัก,187
สถาปนา,186
กอง,186
เมื่อคืน,186
สัก,185
แฟน,185
เพิกถอน,185
ปลอมแปลง,185
บิดเบือน,184
มีส่วนร่วม,184
ปลาย,184
คำนวณ,183
ต่างกัน,183
เช่า,183
รื้อถอน,183
จัดอันดับ,183
กำเนิด,183
ปิดกั้น,182
ชาร์จ,182
อี,182
เครือ,182
ลงคะแนน,182
ชำระเงิน,182
มั่นใจ,182
ฉีด,182
พลาด,182
หัน,181
ออกหมายจับ,181
อุปโภค,181
พ่น,180
ครับ,180
ฉลอง,180
รับรางวัล,180
ไปดู,180
มิใช่,180
บริหารงาน,180
เป็นตัว,180
เอาใจ,180
ถู,179
ท้าทาย,178
ยินดี,178
เปิดรับ,178
เนิน,178
ทำได้,178
สวมใส่,178
นี่,177
ปัก,177
เสียหาย,177
กลับเป็น,176
วิพากษ์วิจารณ์,176
ขับรถ,176
อ.,176
ประท้วง,175
ดำรงตำแหน่ง,175
เยี่ยมชม,175
กวาด,175
ละเว้น,175
แต่อย่างใด,175
เป่า,175
จัดส่ง,175
เว้น,174
เทพ,174
รับเงิน,174
ตามหา,173
เพาะปลูก,173
บ้านเมือง,173
เตะ,173
นำไปใช้,173
ลำเลียง,173
มูลค่า,172
ยกตัวอย่าง,171
ยับยั้ง,171
ลงทะเบียน,171
ร่างรัฐธรรมนูญ,170
ก้าว,170
อำนวยความสะดวก,170
แพร่,169
จอม,169
คว้าแชมป์,169
อ้างว่า,168
เลี้ยงดู,168
ล่า,167
ฝ่าฝืน,167
ที่มา,166
ไต่สวน,166
เป็นช่วง,166
สน.,166
มาหา,165
เป็นทางการ,165
ตอบคำถาม,165
ทำหนังสือ,165
จำเลย,165
เอเชี่ยน,165
ให้ความรู้,164
แบ่งแยก,164
จ,164
พรรคการเมือง,164
สะสม,163
มีเงิน,163
เหนือ,162
แล้วเสร็จ,162
ทาย,162
อ่อน,161
ดึงดูด,161
ยึดถือ,160
ปล่อยตัว,160
ใช้ชีวิต,160
สมัคร,160
ดัดแปลง,160
การส่งออก,160
ต้น,160
เขื่อน,160
จำเป็น,159
จีน,159
คง,159
ปิดล้อม,159
เกี่ยว,159
คิดค้น,159
เสียบ,159
เป็นห่วง,159
หาย,159
เคลียร์,159
ห่วง,159
เป็นโรค,158
มีอำนาจ,157
พุ่ง,157
ยุทธ,157
ผ่าตัด,157
คนร้าย,157
กระโดด,156
สูญ,156
ปั๊ม,156
ฝากขัง,156
นำพา,156
เม,155
ทั่ว,155
ป่วย,155
พบปะ,155
ฝ่ายปกครอง,155
ชู,154
ร่วมงาน,154
คัด,154
ประสบความสำเร็จ,153
ตึก,153
การปกครอง,153
เชี่ยวชาญ,153
อายัด,153
ระวางโทษ,152
เฟซบุ๊ก,152
เลีย,152
เรียบร้อย,152
พึ่งพา,150
มองหา,150
ยั่งยืน,150
ที่อยู่,150
ขน,150
ที่ผ่านมา,149
จุฬาลงกรณ์,149
กังวล,149
ดาวน์โหลด,148
เปรียบเสมือน,148
พัด,148
ใบ,147
น่า,147
ขออนุญาต,146
แข่ง,146
ชะลอ,145
ตราด,145
ประมวล,145
ว่าจ้าง,145
ป้อง,144
ปกปิด,144
กู้ยืม,144
มิตร,144
ดีกว่า,144
รำลึกถึง,144
เค,144
จ.,144
บำเพ็ญ,144
ทุบ,144
ถ่ายทอดสด,144
เติมเต็ม,144
ยาย,144
มองไม่เห็น,143
เจ้าพระยา,143
ยีนส์,143
นา,143
ปลุก,143
รู้เรื่อง,143
เงินหมุนเวียน,143
ใช้ประโยชน์,142
เคลือบ,142
รถ,142
มูลนิธิ,142
เพิ่มจำนวน,142
สานต่อ,142
มีมติ,142
กรอก,142
พึ่ง,141
ศาล,141
ลุกไหม้,141
เซ,140
จันทร์,140
เสี่ย,140
ให้อำนาจ,140
เกษียณอายุ,140
ยาบ้า,140
ตอบรับ,140
ประชาธิปไตย,139
แทรกแซง,139
ปีน,139
บรรทุก,139
แทนที่,139
เชียร์,139
จับตา,139
ครอบครอง,138
ต้องตาม,138
ประพฤติ,138
ยกน้ำหนัก,137
อีสาน,137
ทยอย,137
ปฏิบัติงาน,137
ปิยะ,137
ในสังกัด,137
ความคืบหน้า,137
ยักษ์,136
เพียงแค่,136
เป็นระบบ,136
เซ็น,136
ตอกย้ำ,136
ถึงกับ,136
ดับ,136
นาน,135
เรื่อง,135
ประกันตัว,135
ปา,134
ยืด,134
ตัวแทน,134
วันเกิด,134
เจ็บ,134
จัดพิมพ์,134
ประทับ,134
ปั่น,133
มาน,133
ใจ,133
สำนักงานเขต,133
มีความผิด,133
สลาย,132
เป็นแนว,132
ซ่อมแซม,132
นู,132
ขออนุมัติ,132
จุด,132
เล็งเห็น,132
ครบรอบ,131
กองบัญชาการ,131
เข้าชม,131
อัยการ,131
ล้อม,130
หลบหนี,130
ได้ผล,130
ตามหลัง,130
กำชับ,129
กักเก็บ,129
อัญเชิญ,128
ยิ้ม,128
มีชื่อเสียง,128
นำมาซึ่ง,128
ไม่ค่อย,127
เป็นความ,127
สืบสาน,127
เข้ากับ,127
เตรียมพร้อม,126
ทวี,126
เพิ่มประสิทธิภาพ,126
ความเห็น,126
เอ,126
แค่,126
แปรรูป,126
ลา,126
ถ่ายรูป,126
เคาะ,126
เดินตาม,126
ฉีก,126
ล็อก,126
ท่า,126
เมา,125
จะแจ้ง,125
บุก,125
เพียงพอ,125
สภ.,125
แสดงความคิดเห็น,123
แตะ,123
เหมือง,123
ฝ่า,123
เรียนต่อ,123
สืบทอด,123
มอบหมาย,122
กลั่นกรอง,122
ในอนาคต,122
จด,122
สังเกตเห็น,122
ตัวเมือง,122
เพาะ,121
ไปเที่ยว,121
ถูกต้อง,121
นุ่ง,121
ให้ความสนใจ,120
หมุน,120
เช็ก,120
ใบอนุญาต,120
มีชื่อ,120
เสี่ยง,120
เห็นแก่,119
กั้น,119
จิ,119
การเมือง,119
อ้างอิง,119
ชน,119
ย่อ,119
เรียง,119
ไหว,119
บ่อนทำลาย,118
ตามเวลา,118
ตั้งคำถาม,118
แย่ง,118
ขนย้าย,118
เลน,117
ทำร้าย,117
ปลูกฝัง,117
ดวล,117
คุย,116
ทางการ,116
หันมา,116
ลอก,116
ฝรั่งเศส,115
การศึกษา,115
เดือดร้อน,115
บำรุง,115
นึก,115
ติดขัด,115
การสอน,115
ต่อสู้,115
ร้อย,115
จับตัว,114
ล่วงละเมิด,114
จ้างงาน,114
สิ้นเปลือง,114
ละ,114
ความช่วยเหลือ,114
ปกคลุม,114
ตรวจวัด,114
น้อง,114
ติดใจ,114
อา,113
กลุ่ม,113
รวมตัวกัน,113
คุ้ม,113
ประธานาธิบดี,112
ใช้กำลัง,112
การบังคับใช้,112
ประเพณี,112
เจ,112
ล้น,112
พัง,112
ใส่ใจ,112
เซต,112
กา,111
ยล,111
ดูด,111
ยี่,111
ควรจะเป็น,110
เยือน,110
คลี่คลาย,110
ประกอบอาชีพ,110
บวก,110
สื่อ,110
ต้องห้าม,110
ลงนาม,110
มีความสุข,110
ประยุทธ์,110
ทำไม,110
เก,109
ใกล้เคียง,109
ชื่นชม,109
พระพุทธศาสนา,109
ตรวจดู,109
ใช้การ,109
พี่น้อง,109
ขโมย,109
เจ้าหน้าที่ตำรวจ,109
การเข้าสู่,108
ส่งตัว,108
ขุดเจาะ,108
การรักษา,107
ถนน,107
เร,107
ยุ่ง,107
จัดวาง,107
แทง,107
ผูก,107
มีทาง,106
รื้อ,106
เทียบเท่า,106
แอบ,106
มองข้าม,106
ยวง,106
เต้น,106
สม,106
นิ,106
ต่อรอง,105
ให้เกียรติ,105
บ่งบอกถึง,105
ความคิดเห็น,105
นายกฯ,105
บาท,105
สงวน,105
เฉพาะที่,105
อำเภอ,105
นพ.,105
ผสาน,105
หญิง,105
กีฬา,104
บัญญัติ,104
การนำ,104
กดดัน,104
แถลงข่าว,104
บอกเล่า,104
อร่อย,103
เสื้อ,103
ละเลย,103
นาย,102
ทหาร,102
ผสมผสาน,102
มีประสิทธิภาพ,102
เห็นใจ,101
อด,101
มีโทษ,101
เบอ,101
เก็บรักษา,101
ไหลผ่าน,101
ท่าเรือ,101
สนามบิน,101
นักกีฬา,101
เลียบ,100
เจ้าตัว,100
เปลี่ยนไป,100
ใจถึง,100
เป็นเจ้าภาพ,100
อพยพ,99
ชี้นำ,99
ปิดท้าย,99
ขยายผล,99
ประเดิม,99
เดช,99
เก่ง,99
ตามกฎหมาย,99
เข้ารอบ,99
ริเริ่ม,98
เผยแผ่,98
ร่วมใน,98
คัดแยก,98
ยื้อ,98
เกย,97
กราบ,97
ป.ป.ช.,97
บีบ,97
ตัวส่ง,97
รับมอบ,97
กล่าวหา,97
วาด,96
คงอยู่,96
อบ,96
กีดขวาง,96
จ่า,96
บูชา,96
สัญจร,96
ให้โอกาส,96
เยาวชน,96
ยังไง,96
เทศกาล,96
ถ่ายภาพ,95
หน้าเป็น,95
ต้ม,95
พก,95
ทำความสะอาด,95
เรียกคืน,95
เพิ่มมากขึ้น,95
บรอนซ์,95
บำรุงรักษา,95
ยม,95
ประณาม,94
เตรียมการ,94
สู้,94
ที,94
เด็ดขาด,94
เคล็ดลับ,94
เหมาะสำหรับ,94
ลดทอน,93
เสวนา,93
แบก,93
ห่าง,93
ลงมติ,93
สั่งการ,93
ซักถาม,93
อาวุธ,93
คุกคาม,92
เพาะเลี้ยง,92
ตามตัว,92
ยังอยู่,92
ลาน,92
จับคู่,92
ออ,92
เน้นย้ำ,92
น้อม,92
เก็บตัว,92
ยุทธศาสตร์,92
แสวง,91
สภาปฏิรูป,91
กวดขัน,91
เป็นต่อ,91
บ้านเกิด,91
บาดเจ็บ,91
จำคุก,91
มีคุณค่า,91
คัดค้าน,90
ตีพิมพ์,90
บูรณะ,90
เป็นได้,90
มากยิ่งขึ้น,90
พร้อมด้วย,90
เฉลิมพระเกียรติ,90
ค้ำประกัน,90
ยามา,90
ปืน,90
แนะ,90
นายร้อย,89
ห้ามไม่ให้,89
สี่แยก,89
ประเมินผล,89
อนุญาต,89
ขับขี่,89
เก่าแก่,89
ย่า,89
สัมพันธ์,88
เลย,88
สาว,88
สแกน,88
จุดไฟ,88
ท่าอากาศยาน,88
บุญ,88
สัมมา,88
อวด,88
ชุบ,88
สนทนา,88
เวนคืน,88
ออกหมายเรียก,88
สืบสวนสอบสวน,88
ยอดเยี่ยม,87
ประกวด,87
น.ส.,87
จดจำ,87
บอล,87
สงบ,87
จัน,87
อิ่ม,86
แตกต่าง,86
บันทึกภาพ,86
ถกเถียง,86
ประชาชน,86
เอาผิด,86
ขึ้นไป,85
ลุย,85
มีประสบการณ์,85
ยางใน,85
บำบัด,85
ขยับ,84
เรือง,84
ตกใน,84
แข็งแกร่ง,83
โยง,83
มีแผน,83
ไกล่เกลี่ย,83
อุดหนุน,83
ระลึกถึง,83
แอบอ้าง,83
บัญชา,82
ปรองดอง,82
มรดก,82
ไหม้,82
สิทธิ,82
ตำหนิ,81
อุทธรณ์,81
ลุกขึ้น,81
นิ่ม,81
ตอบแทน,81
เสาร์,81
สำ,81
เลี่ยง,81
รับมือ,81
เป็นผล,81
รวมตัว,81
เอ่ย,80
ทา,80
อยากได้,80
เท่ากัน,80
เรือนจำ,80
ทวีต,80
ตั้งเป้า,80
ชะ,80
รับบริจาค,80
เข้าออก,80
รถไฟ,80
อภิปราย,79
ย้อนกลับ,79
ความพร้อม,79
ยกย่อง,79
ค้าง,79
อร,79
จัดระบบ,79
เดินผ่าน,79
ยักยอก,79
เข้าใส่,79
ลอย,79
มีประวัติ,79
หันไป,79
ปรับปรุงแก้ไข,79
มีลูก,78
สวด,78
ปวด,78
ถูกจับ,78
ลอบ,78
สืบค้น,78
ทำกิจกรรม,78
ฝูง,78
นิช,78
ให้ความสำคัญ,78
ตัดแต่ง,78
ไว้วางใจ,78
ละคร,78
ร้องทุกข์,78
ออกอากาศ,78
ตั้งชื่อ,77
ดูเหมือน,77
มั่นคง,77
เป็นต้นไป,77
ชิง,77
ร้องไห้,77
เพลิงไหม้,77
อนุ,77
จับจอง,77
ขอโทษ,77
เป็นข่าว,77
วิจัยและพัฒนา,77
คัดสรร,77
ยอน,77
ตาก,77
มณฑล,76
ปลดล็อก,76
คึกคัก,76
นุ,76
นายก,76
เลิศ,76
แต่กลับ,76
แชมป์,76
หยิบยก,76
กราบไหว้,76
การผลิต,76
เกลี่ย,76
มีเหตุผล,76
ประกอบธุรกิจ,76
คำนึง,75
เป็นไปได้,75
กตัญญู,75
จากไป,75
ยซ์,75
เข้าสู่ระบบ,75
ตบ,75
นึง,75
ช่วยดูแล,75
จับภาพ,75
พูดว่า,75
มีสิทธิ์,75
ปฏิวัติ,75
หยุดยั้ง,75
การแสดง,75
เยอะ,75
นับตั้งแต่,75
ชัก,75
ก้าวหน้า,75
สั่งห้าม,75
นักเตะ,75
จุดชนวน,75
เลสเต,75
ยื่นฟ้อง,75
เอส,74
ทำพิธี,74
เครื่องบิน,74
ปอ,74
เรียกกันว่า,74
เพิ่มปริมาณ,74
ซิ,74
ตามใจ,74
ทุ่มเท,74
รับประกัน,74
เชิดชู,74
ยมะ,74
ตั้งข้อหา,74
กระทั่ง,74
ปาง,74
ทางการเมือง,74
ทั้งคู่,73
จับตามอง,73
ปิดบัง,73
หรอก,73
ประคับประคอง,73
พกพา,73
เหมือนกับ,73
แลก,73
รถไฟฟ้า,73
คลาย,73
ชักชวน,73
ซา,73
ได้เงิน,72
เตรียมตัว,72
ให้คำปรึกษา,72
ทะลุ,72
พระราชทาน,72
ติดต่อสอบถาม,72
จู,72
ยัด,72
ปนเปื้อน,72
ถก,72
หลัก,72
เยียวยา,71
เหยียบ,71
มีชีวิต,71
นานา,71
แสดงผล,71
ขอความร่วมมือ,71
คาดหวัง,71
สิ่งแวดล้อม,71
',71
นำมาใช้,71
บกพร่อง,71
ยึดหลัก,71
ลม,71
ขึ้นทะเบียน,71
คุมตัว,71
จัดซื้อจัดจ้าง,71
ยกมือ,71
ต่ออายุ,71
ยิ่ง,71
หลบ,71
